search_term,campaign,ad_group,match_type,impressions,clicks,cost,conversions,conversion_value,ctr,cpc
roastery co,Roastery - Brand,Brand Terms,EXACT,5800,480,720.0,64,4480.0,8.28,1.5
roastery coffee subscription,Roastery - Brand,Brand Terms,PHRASE,2400,198,396.0,28,1960.0,8.25,2.0
premium coffee subscription,Roastery - Subscription Service,Subscription,PHRASE,3200,220,660.0,24,1680.0,6.88,3.0
monthly coffee subscription uk,Roastery - Subscription Service,Subscription,PHRASE,1850,142,426.0,16,1120.0,7.68,3.0
freshly roasted coffee delivery,Roastery - Subscription Service,Subscription,PHRASE,1450,108,324.0,12,840.0,7.45,3.0
specialty coffee subscription uk,Roastery - Subscription Service,Subscription,PHRASE,1200,92,276.0,10,700.0,7.67,3.0
single origin coffee subscription,Roastery - Subscription Service,Subscription,PHRASE,980,78,234.0,8,560.0,7.96,3.0
subscription coffee beans uk,Roastery - Subscription Service,Subscription,PHRASE,1100,84,252.0,9,630.0,7.64,3.0
best coffee subscription uk,Roastery - Subscription Service,Subscription,PHRASE,1650,124,372.0,11,770.0,7.52,3.0
ethical coffee subscription,Roastery - Subscription Service,Subscription,PHRASE,720,56,168.0,6,420.0,7.78,3.0
artisan coffee delivery,Roastery - Subscription Service,Subscription,PHRASE,580,42,126.0,4,280.0,7.24,3.0
250g coffee subscription,Roastery - Subscription Service,Subscription,PHRASE,380,32,96.0,4,280.0,8.42,3.0
500g coffee subscription,Roastery - Subscription Service,Subscription,PHRASE,320,26,78.0,3,210.0,8.12,3.0
speciality roasted beans uk,Roastery - Subscription Service,Subscription,PHRASE,450,36,108.0,4,280.0,8.0,3.0
light roast coffee subscription,Roastery - Subscription Service,Subscription,PHRASE,410,32,96.0,3,210.0,7.8,3.0
dark roast subscription uk,Roastery - Subscription Service,Subscription,PHRASE,340,28,84.0,3,210.0,8.24,3.0
coffee subscription jobs,Roastery - Brand,Brand Terms,PHRASE,80,4,8.0,0,0,5.0,2.0
how to start a coffee subscription,Roastery - Subscription Service,Subscription,PHRASE,120,6,12.0,0,0,5.0,2.0
coffee subscription gift voucher amazon,Roastery - Subscription Service,Subscription,PHRASE,90,5,10.0,0,0,5.56,2.0
decaf coffee subscription,Roastery - Subscription Service,Subscription,PHRASE,280,22,66.0,2,140.0,7.86,3.0
organic coffee delivery uk,Roastery - Subscription Service,Subscription,PHRASE,320,26,78.0,2,140.0,8.12,3.0
colombian coffee subscription,Roastery - Subscription Service,Subscription,PHRASE,220,18,54.0,1,70.0,8.18,3.0
ethiopian coffee delivery,Roastery - Subscription Service,Subscription,PHRASE,180,14,42.0,1,70.0,7.78,3.0
